feature,importance
cat__ORIGIN_PPG,0.0
cat__ORIGIN_PQI,0.0
cat__ORIGIN_PRC,0.0
cat__ORIGIN_PSC,0.0
cat__ORIGIN_PSE,0.0
cat__ORIGIN_PSG,0.0
cat__ORIGIN_PSM,0.0
cat__ORIGIN_PSP,0.0
cat__ORIGIN_PVD,0.0
cat__ORIGIN_PVU,0.0
cat__ORIGIN_PWM,0.0
cat__ORIGIN_RAP,0.0
cat__ORIGIN_RDD,0.0
cat__ORIGIN_RDM,0.0
cat__ORIGIN_RFD,0.0
cat__ORIGIN_RHI,0.0
cat__ORIGIN_RIC,0.0
cat__ORIGIN_RIW,0.0
cat__ORIGIN_RKS,0.0
cat__ORIGIN_RNO,0.0
cat__ORIGIN_ROA,0.0
cat__ORIGIN_ROC,0.0
cat__ORIGIN_ROW,0.0
cat__ORIGIN_RST,0.0
cat__ORIGIN_RSW,0.0
cat__ORIGIN_SAF,0.0
cat__ORIGIN_SAT,0.0
cat__ORIGIN_SAV,0.0
cat__ORIGIN_SBA,0.0
cat__ORIGIN_SBN,0.0
cat__ORIGIN_SBP,0.0
cat__ORIGIN_SCC,0.0
cat__ORIGIN_SCE,0.0
cat__ORIGIN_SCK,0.0
cat__ORIGIN_SFB,0.0
cat__ORIGIN_SGF,0.0
cat__ORIGIN_SGU,0.0
cat__ORIGIN_SHR,0.0
cat__ORIGIN_SHV,0.0
cat__ORIGIN_SIT,0.0
cat__ORIGIN_SJC,0.0
cat__ORIGIN_SJT,0.0
cat__ORIGIN_SJU,0.0
cat__ORIGIN_SLN,0.0
cat__ORIGIN_SMX,0.0
cat__ORIGIN_SNA,0.0
cat__ORIGIN_SPI,0.0
cat__ORIGIN_SPN,0.0
cat__ORIGIN_SPS,0.0
cat__ORIGIN_SRQ,0.0
cat__ORIGIN_STC,0.0
cat__ORIGIN_STS,0.0
cat__ORIGIN_STT,0.0
cat__ORIGIN_STX,0.0
cat__ORIGIN_SUN,0.0
cat__ORIGIN_SUX,0.0
cat__ORIGIN_SWF,0.0
cat__ORIGIN_SWO,0.0
cat__ORIGIN_SYR,0.0
cat__ORIGIN_TLH,0.0
cat__ORIGIN_TOL,0.0
cat__ORIGIN_TRI,0.0
cat__ORIGIN_TTN,0.0
cat__ORIGIN_TUL,0.0
cat__ORIGIN_TUS,0.0
